,Models,Price
0,"Redmi 8 (Sapphire Blue, 64 GB)","₹7,999"
1,"Redmi 8 (Ruby Red, 64 GB)","₹7,999"
2,"Redmi 8 (Onyx Black, 64 GB)","₹7,999"
3,"Redmi 8A (Ocean Blue, 32 GB)","₹6,999"
4,"Redmi Note 7S (Sapphire Blue, 64 GB)","₹9,999"
5,"Redmi 8A (Ocean Blue, 32 GB)","₹6,499"
6,"Redmi Note 7S (Onyx Black, 64 GB)","₹9,999"
7,"Redmi 8A (Sunset Red, 32 GB)","₹6,999"
8,"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹11,999"
9,"Redmi 8A (Midnight Black, 32 GB)","₹6,499"
10,"Redmi 8A (Sunset Red, 32 GB)","₹6,499"
11,"Redmi Note 7S (Ruby Red, 64 GB)","₹9,999"
12,"Redmi Note 7 Pro (Space Black, 64 GB)","₹11,999"
13,"Redmi 7A (Matte Blue, 32 GB)","₹5,799"
14,"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹11,999"
15,"Redmi 7A (Matte Black, 32 GB)","₹5,799"
16,"Redmi Go (Blue, 16 GB)","₹4,499"
17,"Redmi 8 (Emerald Green, 64 GB)","₹7,999"
18,"Redmi Note 7S (Sapphire Blue, 32 GB)","₹8,999"
19,"Mi A3 (Not just Blue, 64 GB)","₹12,730"
20,"Redmi 7A (Matte Blue, 16 GB)","₹5,499"
21,"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","₹11,999"
22,"Redmi 7A (Matte Gold, 32 GB)","₹5,799"
23,"Redmi Go (Black, 16 GB)","₹4,499"
